Boro_Block_Lot,Baseline?,Condo_Section,Address,Neighborhood,Building_Classification,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Distance_From_Condo,BBL,BBLID,X,Y,Inspection_Type1,Inspection_ID1,Inspection_Date1,Result1,Inspection_Type2,Inspection_ID2,Inspection_Date2,Result2,Inspection_Type3,Inspection_ID3,Inspection_Date3,Result3,Inspection_Type4,Inspection_ID4,Inspection_Date4,Result4
1-00097-7503,No,1412-R1,220 FRONT STREET,SOUTHBRIDGE,R4-CONDOMINIUM,15,1910,25825,"$871,852 ",$34 ,"$265,223 ",$10 ,"$606,629 ","$4,503,000 ",$174 ,NA,1-00097-7503,1000977503,983581.8,197096.1,INITIAL_INSP,PO416381,3/5/12,Passed Inspection,INITIAL_INSP,PO235627,2/11/11,Passed Inspection,INITIAL_INSP,PO53586,1/27/10,Passed Inspection,NA,NA,NA,NA
1-00097-7504,No,1413-R1,214 FRONT STREET,SOUTHBRIDGE,R4-CONDOMINIUM,15,1999,20091,"$678,272 ",$34 ,"$206,335 ",$10 ,"$471,937 ","$3,503,000 ",$174 ,NA,1-00097-7504,1000977504,983522.4,197040.7,INITIAL_INSP,PO416380,3/5/12,Passed Inspection,INITIAL_INSP,PO235626,2/11/11,Passed Inspection,INITIAL_INSP,PO53587,1/26/10,Passed Inspection,NA,NA,NA,NA
1-00100-7501,No,1286-R1,150 NASSAU STREET,SOUTHBRIDGE,R4-CONDOMINIUM,125,1900,168889,"$5,725,337 ",$34 ,"$2,026,668 ",$12 ,"$3,698,669 ","$27,446,000 ",$163 ,NA,1-00100-7501,1001007501,982609.2,198446.5,INITIAL_INSP,PO417663,3/6/12,Passed Inspection,INITIAL_INSP,PO234993,2/7/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00106-7502,No,1164-R1,324 PEARL STREET,SOUTHBRIDGE,R4-CONDOMINIUM,49,1900,37646,"$1,137,662 ",$30 ,"$418,624 ",$11 ,"$719,038 ","$5,292,822 ",$141 ,NA,1-00106-7502,1001067502,983762.4,197554,INITIAL_INSP,PO416421,3/2/12,Passed Inspection,INITIAL_INSP,PO234614,2/8/11,Passed Inspection,INITIAL_INSP,PO54712,1/27/10,Passed Inspection,NA,NA,NA,NA
1-00126-0013,NA,NA,53 PARK PLACE,CIVIC CENTER,D5-ELEVATOR,116,1921,138600,"$4,430,730 ",$32 ,"$1,324,859 ",$10 ,"$3,105,871 ","$23,154,000 ",$167 ,0.32,1-00126-0013,1001260013,981446.8,199406.4,INITIAL_INSP,PO421014,3/9/12,Passed Inspection,INITIAL_INSP,PO233505,2/8/11,Passed Inspection,INITIAL_INSP,PO50121,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00132-7503,No,1042-R1,71 MURRAY STREET,TRIBECA,R4-CONDOMINIUM,11,2001,54500,"$2,220,330 ",$41 ,"$712,315 ",$13 ,"$1,508,015 ","$11,391,999 ",$209 ,NA,1-00132-7503,1001327503,981366,199697.9,INITIAL_INSP,PO419332,3/9/12,Passed Inspection,INITIAL_INSP,PO234958,2/15/11,Passed Inspection,INITIAL_INSP,PO50126,1/20/10,Passed Inspection,NA,NA,NA,NA
1-00133-7504,No,1084-R1,37 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,8,1969,17000,"$486,540 ",$29 ,"$137,020 ",$8 ,"$349,520 ","$2,012,991 ",$118 ,NA,1-00133-7504,1001337504,981784.2,199429.7,INITIAL_INSP,PO421015,3/13/12,Passed Inspection,INITIAL_INSP,PO233498,2/8/11,Passed Inspection,INITIAL_INSP,PO50149,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00133-7506,No,1411-R1,49 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,10,1900,22964,"$826,245 ",$36 ,"$253,982 ",$11 ,"$572,263 ","$3,971,997 ",$173 ,NA,1-00133-7506,1001337506,981688.8,199573.7,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00134-7503,No,1148-R1,9 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,27,1900,59853,"$2,246,283 ",$38 ,"$622,471 ",$10 ,"$1,623,812 ","$7,359,002 ",$123 ,NA,1-00134-7503,1001347503,982086,199280.8,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00134-7505,No,1796-R1,25 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,75,1930,118046,"$5,339,221 ",$45 ,"$1,300,867 ",$11 ,"$4,038,354 ","$28,800,004 ",$244 ,NA,1-00134-7505,1001347505,981987,199365.8,INITIAL_INSP,PO420491,3/14/12,Passed Inspection,INITIAL_INSP,PO234359,2/10/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00135-7501,No,0025-R1,261 BROADWAY,CIVIC CENTER,R9-CONDOMINIUM,65,1915,112500,"$4,167,000 ",$37 ,"$864,000 ",$8 ,"$3,303,000 ","$18,150,000 ",$161 ,NA,1-00135-7501,1001357501,982312.8,199405.9,INITIAL_INSP,PO420543,3/15/12,Passed Inspection,INITIAL_INSP,PO234348,2/10/11,Passed Inspection,INITIAL_INSP,PO149073,9/23/10,Passed Inspection,INITIAL_INSP,PO50172,1/20/10,Passed Inspection
1-00135-7503,No,1162-R1,8 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,14,1860,32039,"$1,169,744 ",$37 ,"$300,205 ",$9 ,"$869,539 ","$6,408,000 ",$200 ,NA,1-00135-7503,1001357503,982246.2,199446.4,INITIAL_INSP,PO420513,3/15/12,Passed Inspection,INITIAL_INSP,PO234347,2/10/11,Passed Inspection,INITIAL_INSP,PO50190,1/20/10,Passed Inspection,NA,NA,NA,NA
1-00135-7504,No,1131-R1,270 BROADWAY,CIVIC CENTER,R4-CONDOMINIUM,87,1910,217318,"$9,188,205 ",$42 ,"$2,284,012 ",$11 ,"$6,904,193 ","$52,094,996 ",$240 ,NA,1-00135-7504,1001357504,982308.2,199480.5,INITIAL_INSP,PO494980,6/18/12,Passed Inspection,INITIAL_INSP,PO384053,12/15/11,Passed Inspection,INITIAL_INSP,PO211030,12/3/10,Passed Inspection,NA,NA,NA,NA
1-00136-7502,No,1007-R1,38 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,26,1900,50165,"$1,831,524 ",$37 ,"$470,046 ",$9 ,"$1,361,478 ","$7,964,002 ",$159 ,NA,1-00136-7502,1001367502,981895.2,199680.2,COMPLIANCE_INSP,PO50205,4/7/10,Passed Inspection,INITIAL_INSP,PO421030,3/8/12,Passed Inspection,INITIAL_INSP,PO233482,2/8/11,Passed Inspection,INITIAL_INSP,PO50205,1/19/10,Problem Conditions
1-00136-7505,No,2132-R1,85 WEST BROADWAY,CIVIC CENTER,R4-CONDOMINIUM,15,2007,15060,"$736,133 ",$49 ,"$186,292 ",$12 ,"$549,841 ","$3,109,996 ",$207 ,NA,1-00136-7505,1001367505,981720.2,199829.7,INITIAL_INSP,PO421038,3/8/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00137-7503,No,1593-R1,92 WARREN STREET,TRIBECA,R4-CONDOMINIUM,12,1920,30062,"$1,081,631 ",$36 ,"$332,486 ",$11 ,"$749,145 ","$4,928,001 ",$164 ,NA,1-00137-7503,1001377503,981299.7,200017.9,INITIAL_INSP,PO419347,3/12/12,Passed Inspection,INITIAL_INSP,PO234939,2/15/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00140-7501,No,0499-R1,165 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,83,1987,89377,"$3,973,701 ",$44 ,"$1,099,337 ",$12 ,"$2,874,364 ","$21,638,002 ",$242 ,NA,1-00140-7501,1001407501,981361.8,200279.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00140-7502,No,0594-R1,311 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,80,1988,66551,"$2,767,191 ",$42 ,"$807,264 ",$12 ,"$1,959,927 ","$14,796,000 ",$222 ,NA,1-00140-7502,1001407502,981335.1,200324.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00140-7503,No,0889-R1,137 READE STREET,TRIBECA,R4-CONDOMINIUM,10,1930,28000,"$1,059,520 ",$38 ,"$313,320 ",$11 ,"$746,200 ","$4,301,000 ",$154 ,NA,1-00140-7503,1001407503,981495.5,200232.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00140-7505,No,1847-R1,157 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,38,1931,87334,"$3,675,015 ",$42 ,"$986,001 ",$11 ,"$2,689,014 ","$16,060,010 ",$184 ,NA,1-00140-7505,1001407505,981429.1,200211,INITIAL_INSP,PO421070,3/12/12,Passed Inspection,INITIAL_INSP,PO234928,2/14/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00141-7502,No,0617-R1,184 DUANE STREET,TRIBECA,R4-CONDOMINIUM,1,1915,2660,"$113,954 ",$43 ,"$30,617 ",$12 ,"$83,337 ","$422,400 ",$159 ,NA,1-00141-7502,1001417502,981431,200557.2,INITIAL_INSP,PO421121,3/12/12,Passed Inspection,INITIAL_INSP,PO234925,2/14/11,Passed Inspection,INITIAL_INSP,PO50020,1/21/10,Passed Inspection,NA,NA,NA,NA
1-00141-7504,No,0996-R1,166 DUANE STREET,TRIBECA,R4-CONDOMINIUM,30,1910,92487,"$3,327,682 ",$36 ,"$1,022,906 ",$11 ,"$2,304,776 ","$17,006,001 ",$184 ,NA,1-00141-7504,1001417504,981636.6,200387.4,INITIAL_INSP,PO421130,3/12/12,Passed Inspection,INITIAL_INSP,PO234916,2/14/11,Passed Inspection,INITIAL_INSP,PO50011,1/21/10,Passed Inspection,NA,NA,NA,NA
1-00142-7502,No,1629-R1,200 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,311,2005,314373,"$14,329,121 ",$46 ,"$3,986,250 ",$13 ,"$10,342,871 ","$77,801,025 ",$247 ,NA,1-00142-7502,1001427502,980825.7,200323.6,INITIAL_INSP,PO419319,3/9/12,Passed Inspection,INITIAL_INSP,PO395467,1/17/12,Passed Inspection,INITIAL_INSP,PO239423,2/16/11,Passed Inspection,NA,NA,NA,NA
1-00143-7501,No,0328-R1,8 JAY STREET,TRIBECA,R9-CONDOMINIUM,13,1915,19882,"$635,628 ",$32 ,"$201,802 ",$10 ,"$433,826 ","$2,365,000 ",$119 ,NA,1-00143-7501,1001437501,981568.1,200783.2,INITIAL_INSP,PO234894,2/11/11,Passed Inspection,INITIAL_INSP,PO49223,1/15/10,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00143-7502,No,1026-R1,177 DUANE STREET,TRIBECA,R9-CONDOMINIUM,11,1920,15500,"$526,690 ",$34 ,"$164,455 ",$11 ,"$362,235 ","$6,162,000 ",$398 ,NA,1-00143-7502,1001437502,981471.7,200722.8,INITIAL_INSP,PO234889,2/11/11,Passed Inspection,INITIAL_INSP,PO49220,1/15/10,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00144-7502,No,1597-R1,36 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,12,1910,27928,"$1,004,849 ",$36 ,"$308,884 ",$11 ,"$695,965 ","$4,576,001 ",$164 ,NA,1-00144-7502,1001447502,981817.1,200496,INITIAL_INSP,PO421140,3/12/12,Passed Inspection,INITIAL_INSP,PO233598,2/9/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00145-7501,No,0071-R1,105 CHAMBERS STREET,CIVIC CENTER,R4-CONDOMINIUM,2,1915,12688,"$480,114 ",$38 ,"$141,979 ",$11 ,"$338,135 ","$2,334,000 ",$184 ,NA,1-00145-7501,1001457501,982043.5,199873.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00145-7504,No,0668-R1,97 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,20,1920,24992,"$997,181 ",$40 ,"$317,148 ",$13 ,"$680,033 ","$5,140,002 ",$206 ,NA,1-00145-7504,1001457504,981962.2,199959.8,INITIAL_INSP,PO421062,3/9/12,Passed Inspection,INITIAL_INSP,PO233471,2/8/11,Passed Inspection,INITIAL_INSP,PO52286,1/22/10,Passed Inspection,NA,NA,NA,NA
1-00146-7501,No,0715-R1,96 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,21,1895,32300,"$1,162,154 ",$36 ,"$357,238 ",$11 ,"$804,916 ","$5,938,999 ",$184 ,NA,1-00146-7501,1001467501,982029,200087.1,INITIAL_INSP,PO421091,3/9/12,Passed Inspection,INITIAL_INSP,PO233450,2/8/11,Passed Inspection,INITIAL_INSP,PO49986,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00146-7502,No,0804-R1,150 DUANE STREET,CIVIC CENTER,R9-CONDOMINIUM,13,1915,20500,"$793,555 ",$39 ,"$256,455 ",$13 ,"$537,100 ","$3,495,000 ",$170 ,NA,1-00146-7502,1001467502,981931.4,200226.9,COMPLIANCE_INSP,PO49975,2/25/10,Passed Inspection,INITIAL_INSP,PO421095,3/9/12,Passed Inspection,INITIAL_INSP,PO233446,2/8/11,Passed Inspection,INITIAL_INSP,PO49975,1/19/10,Active Rat Signs
1-00146-7503,No,1004-R1,104 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,9,1920,20325,"$769,098 ",$38 ,"$227,437 ",$11 ,"$541,661 ","$3,718,000 ",$183 ,NA,1-00146-7503,1001467503,981955.1,200130.9,INITIAL_INSP,PO421092,3/9/12,Passed Inspection,INITIAL_INSP,PO233449,2/8/11,Passed Inspection,INITIAL_INSP,PO49987,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00147-7508,No,1702-R1,52 THOMAS STREET,CIVIC CENTER,R4-CONDOMINIUM,20,1915,35900,"$1,329,736 ",$37 ,"$275,712 ",$8 ,"$1,054,024 ","$7,757,997 ",$216 ,NA,1-00147-7508,1001477508,982286,200273.5,COMPLIANCE_INSP,PO358419,11/28/11,Passed Inspection,INITIAL_INSP,PO421459,3/30/12,Passed Inspection,INITIAL_INSP,PO233440,2/7/11,Passed Inspection,NA,NA,NA,NA
1-00147-7509,No,1816-R1,137 DUANE STREET,CIVIC CENTER,R4-CONDOMINIUM,19,1915,45510,"$1,546,430 ",$34 ,"$482,861 ",$11 ,"$1,063,569 ","$7,890,999 ",$173 ,NA,1-00147-7509,1001477509,982143.3,200352.7,INITIAL_INSP,PO534149,9/24/12,Passed Inspection,INITIAL_INSP,PO421462,3/30/12,Passed Inspection,INITIAL_INSP,PO233437,2/7/11,Passed Inspection,NA,NA,NA,NA
1-00150-7501,No,0954-R1,70 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,8,1915,26658,"$762,952 ",$29 ,"$214,863 ",$8 ,"$548,089 ","$3,701,001 ",$139 ,NA,1-00150-7501,1001507501,982385.3,199924.8,INITIAL_INSP,PO420533,3/15/12,Passed Inspection,INITIAL_INSP,PO234264,2/9/11,Passed Inspection,INITIAL_INSP,PO52256,1/26/10,Passed Inspection,NA,NA,NA,NA
1-00164-0029,NA,NA,43 MOTT STREET,CHINATOWN,C7-WALK-UP,31,1915,10700,"$400,715 ",$37 ,"$136,211 ",$13 ,"$264,504 ","$1,945,000 ",$182 ,0.25,1-00164-0029,1001640029,984528.2,199856.7,INITIAL_INSP,PO452168,4/19/12,Passed Inspection,INITIAL_INSP,PO305133,6/3/11,Passed Inspection,INITIAL_INSP,PO262233,4/14/11,Passed Inspection,INITIAL_INSP,PO51522,1/22/10,Passed Inspection
1-00171-7501,No,0032-R1,356 BROADWAY,CHINATOWN,R4-CONDOMINIUM,18,1915,20000,"$577,200 ",$29 ,"$163,000 ",$8 ,"$414,200 ","$3,110,001 ",$156 ,NA,1-00171-7501,1001717501,983309.6,200491.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00171-7502,No,1074-R1,354 BROADWAY,CHINATOWN,R4-CONDOMINIUM,12,1900,41204,"$1,317,292 ",$32 ,"$418,221 ",$10 ,"$899,071 ","$6,701,998 ",$163 ,NA,1-00171-7502,1001717502,983294.2,200467.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00172-7501,No,0730-R1,374 BROADWAY,CHINATOWN,R4-CONDOMINIUM,163,1990,126500,"$3,787,410 ",$30 ,"$1,406,680 ",$11 ,"$2,380,730 ","$17,836,002 ",$141 ,NA,1-00172-7501,1001727501,983470.2,200759.3,INITIAL_INSP,PO416910,3/1/12,Passed Inspection,INITIAL_INSP,PO234438,2/9/11,Passed Inspection,INITIAL_INSP,PO52388,1/26/10,Passed Inspection,NA,NA,NA,NA
1-00172-7502,No,1433-R1,81 WHITE STREET,CHINATOWN,R4-CONDOMINIUM,11,1915,28500,"$822,510 ",$29 ,"$232,275 ",$8 ,"$590,235 ","$4,431,999 ",$156 ,NA,1-00172-7502,1001727502,983582.8,200657.5,INITIAL_INSP,PO416920,3/1/12,Passed Inspection,INITIAL_INSP,PO234444,2/9/11,Passed Inspection,INITIAL_INSP,PO52391,1/26/10,Passed Inspection,NA,NA,NA,NA
1-00172-7504,No,2079-R1,50 FRANKLIN STREET,CHINATOWN,R4-CONDOMINIUM,72,2007,91412,"$4,114,454 ",$45 ,"$1,357,468 ",$15 ,"$2,756,986 ","$20,745,996 ",$227 ,NA,1-00172-7504,1001727504,983566.9,200569.1,INITIAL_INSP,PO416916,3/1/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00173-7501,No,1157-R1,66 LEONARD STREET,CIVIC CENTER,R4-CONDOMINIUM,47,1900,132423,"$4,432,198 ",$33 ,"$1,064,681 ",$8 ,"$3,367,517 ","$24,419,996 ",$184 ,NA,1-00173-7501,1001737501,982687.1,200607.4,INITIAL_INSP,PO233355,1/19/11,Passed Inspection,INITIAL_INSP,PO52231,1/26/10,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00173-7502,No,1434-R1,65 WORTH STREET,CIVIC CENTER,R4-CONDOMINIUM,30,1920,89678,"$2,420,409 ",$27 ,"$486,055 ",$5 ,"$1,934,354 ","$13,964,998 ",$156 ,NA,1-00173-7502,1001737502,982686.3,200540.3,INITIAL_INSP,PO233356,1/19/11,Passed Inspection,INITIAL_INSP,PO52240,1/26/10,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00173-7503,No,2052-R1,79 WORTH STREET,CIVIC CENTER,R4-CONDOMINIUM,29,1920,56292,"$1,799,655 ",$32 ,"$571,364 ",$10 ,"$1,228,291 ","$9,156,999 ",$163 ,NA,1-00173-7503,1001737503,982790.6,200527.4,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00175-0020,NA,NA,43 WHITE STREET,CIVIC CENTER,D5-ELEVATOR,18,1915,33500,"$732,310 ",$22 ,"$293,795 ",$9 ,"$438,515 ","$6,281,000 ",$187 ,0.09,1-00175-0020,1001750020,983029.6,201001.5,INITIAL_INSP,PO421646,3/12/12,Passed Inspection,INITIAL_INSP,PO233327,2/7/11,Passed Inspection,INITIAL_INSP,PO52165,1/22/10,Passed Inspection,NA,NA,NA,NA
1-00175-7503,No,0711-R1,55 WHITE STREET,CIVIC CENTER,R4-CONDOMINIUM,17,1860,32939,"$872,554 ",$26 ,"$329,390 ",$10 ,"$543,164 ","$3,928,999 ",$119 ,NA,1-00175-7503,1001757503,983149.3,200929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00175-7504,No,1108-R1,90 FRANKLIN STREET,CIVIC CENTER,R4-CONDOMINIUM,24,1915,98891,"$3,458,218 ",$35 ,"$864,555 ",$9 ,"$2,593,663 ","$19,190,999 ",$194 ,NA,1-00175-7504,1001757504,982876.5,200970.5,INITIAL_INSP,PO421638,3/12/12,Passed Inspection,INITIAL_INSP,PO233310,2/7/11,Passed Inspection,INITIAL_INSP,PO52173,1/22/10,Passed Inspection,NA,NA,NA,NA
1-00178-7502,No,0932-R1,211 WEST BROADWAY,CIVIC CENTER,R2-CONDOMINIUM,11,1915,24985,"$619,628 ",$25 ,"$249,850 ",$10 ,"$369,778 ","$2,686,999 ",$108 ,NA,1-00178-7502,1001787502,982538.2,201182.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00179-0032,NA,NA,176 WEST BROADWAY,TRIBECA,D6-ELEVATOR,17,2008,52930,"$1,622,305 ",$31 ,"$501,776 ",$9 ,"$1,120,529 ","$8,377,000 ",$158 ,0,1-00179-0032,1001790032,982180.1,200916.8,INITIAL_INSP,PO421486,4/2/12,Passed Inspection,INITIAL_INSP,PO233589,2/8/11,Passed Inspection,INITIAL_INSP,PO49259,1/20/10,Passed Inspection,NA,NA,NA,NA
1-00179-7503,No,1013-R1,155 FRANKLIN STREET,TRIBECA,R4-CONDOMINIUM,10,1982,33633,"$1,048,677 ",$31 ,"$385,098 ",$11 ,"$663,579 ","$4,960,000 ",$147 ,NA,1-00179-7503,1001797503,981984.3,201233.3,COMPLIANCE_INSP,PO233567,3/18/11,Passed Inspection,INITIAL_INSP,PO422173,3/20/12,Passed Inspection,INITIAL_INSP,PO233567,2/8/11,Active Rat Signs,INITIAL_INSP,PO49261,1/20/10,Passed Inspection
1-00179-7506,No,1196-R1,14 LEONARD STREET,TRIBECA,R4-CONDOMINIUM,31,1915,88615,"$2,347,411 ",$26 ,"$877,289 ",$10 ,"$1,470,122 ","$10,634,000 ",$120 ,NA,1-00179-7506,1001797506,982010.8,201021.9,INITIAL_INSP,PO421484,4/2/12,Passed Inspection,INITIAL_INSP,PO233591,2/8/11,Passed Inspection,INITIAL_INSP,PO49254,1/20/10,Passed Inspection,NA,NA,NA,NA
1-00180-7502,No,0198-R1,67 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,20,1915,20750,"$679,978 ",$33 ,"$238,833 ",$12 ,"$441,145 ","$3,280,999 ",$158 ,NA,1-00180-7502,1001807502,981688.1,200910.7,INITIAL_INSP,PO422424,3/29/12,Passed Inspection,INITIAL_INSP,PO234869,2/11/11,Passed Inspection,INITIAL_INSP,PO49180,5/12/10,Passed Inspection,NA,NA,NA,NA
1-00180-7507,No,0923-R1,345 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,10,1921,23287,"$582,175 ",$25 ,"$239,856 ",$10 ,"$342,319 ","$2,492,001 ",$107 ,NA,1-00180-7507,1001807507,981468.9,201018.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00181-7501,No,0080-R1,355 GREENWICH STREET,TRIBECA,R2-CONDOMINIUM,10,1983,10962,"$328,093 ",$30 ,"$122,446 ",$11 ,"$205,647 ","$1,543,998 ",$141 ,NA,1-00181-7501,1001817501,981481.6,201217.2,INITIAL_INSP,PO422439,3/29/12,Passed Inspection,INITIAL_INSP,PO234840,2/10/11,Passed Inspection,INITIAL_INSP,PO49156,5/12/10,Passed Inspection,NA,NA,NA,NA
1-00181-7502,No,0152-R1,363 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,9,1915,17788,"$472,983 ",$27 ,"$181,793 ",$10 ,"$291,190 ","$2,100,997 ",$118 ,NA,1-00181-7502,1001817502,981511.9,201278.9,INITIAL_INSP,PO422441,3/29/12,Passed Inspection,INITIAL_INSP,PO234838,2/10/11,Passed Inspection,INITIAL_INSP,PO49141,5/12/10,Passed Inspection,NA,NA,NA,NA
1-00188-7501,No,0491-R1,65 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,8,1915,12690,"$350,879 ",$28 ,"$119,159 ",$9 ,"$231,720 ","$1,504,899 ",$119 ,NA,1-00188-7501,1001887501,981609.1,201683.5,INITIAL_INSP,PO422465,3/22/12,Passed Inspection,INITIAL_INSP,PO234814,2/9/11,Passed Inspection,INITIAL_INSP,PO47200,1/15/10,Passed Inspection,NA,NA,NA,NA
1-00188-7502,No,1063-R1,387 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,36,1915,86451,"$2,893,515 ",$33 ,"$1,029,631 ",$12 ,"$1,863,884 ","$13,843,002 ",$160 ,NA,1-00188-7502,1001887502,981552.9,201717.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00188-7503,No,1155-R1,53 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,46,1910,83020,"$2,868,341 ",$35 ,"$988,768 ",$12 ,"$1,879,573 ","$13,919,998 ",$168 ,NA,1-00188-7503,1001887503,981774.1,201716.9,INITIAL_INSP,PO427706,6/19/12,Passed Inspection,INITIAL_INSP,PO47203,1/15/10,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-00188-7505,No,1986-R1,48 BEACH STREET,TRIBECA,R4-CONDOMINIUM,25,1930,94532,"$2,793,421 ",$30 ,"$1,089,954 ",$12 ,"$1,703,467 ","$12,100,005 ",$128 ,NA,1-00188-7505,1001887505,981690.1,201748,INITIAL_INSP,PO422468,3/23/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-00189-7501,No,0229-R1,220 WEST BROADWAY,TRIBECA,R9-CONDOMINIUM,24,1915,52735,"$1,396,950 ",$26 ,"$522,077 ",$10 ,"$874,873 ","$6,328,000 ",$120 ,NA,1-00189-7501,1001897501,982419.3,201352.8,INITIAL_INSP,PO422207,3/13/12,Passed Inspection,INITIAL_INSP,PO233529,2/7/11,Passed Inspection,INITIAL_INSP,PO47286,1/20/10,Passed Inspection,NA,NA,NA,NA
1-00189-7502,No,0430-R1,104 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,14,1921,40581,"$1,248,272 ",$31 ,"$392,012 ",$10 ,"$856,260 ","$6,399,998 ",$158 ,NA,1-00189-7502,1001897502,981926.1,201389,INITIAL_INSP,PO422215,3/13/12,Passed Inspection,INITIAL_INSP,PO233549,2/8/11,Passed Inspection,INITIAL_INSP,PO47265,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00189-7507,No,1052-R1,132 FRANKLIN STREET,TRIBECA,R4-CONDOMINIUM,13,1915,53468,"$1,644,676 ",$31 ,"$516,501 ",$10 ,"$1,128,175 ","$8,432,001 ",$158 ,NA,1-00189-7507,1001897507,982244.3,201384.5,INITIAL_INSP,PO422208,3/13/12,Passed Inspection,INITIAL_INSP,PO233556,2/8/11,Passed Inspection,INITIAL_INSP,PO47279,1/19/10,Passed Inspection,NA,NA,NA,NA
1-00189-7508,No,1061-R1,38 NORTH MOORE STREET,TRIBECA,R9-CONDOMINIUM,11,1915,18315,"$541,208 ",$30 ,"$167,949 ",$9 ,"$373,259 ","$2,798,000 ",$153 ,NA,1-00189-7508,1001897508,982028.8,201470.7,INITIAL_INSP,PO422221,3/13/12,Passed Inspection,INITIAL_INSP,PO233564,2/8/11,Passed Inspection,INITIAL_INSP,PO47268,1/20/10,Passed Inspection,NA,NA,NA,NA
